"Korak","Status","Minuta","CenaUSD","Commit"
"U1","BLOKADA","16","6.39","1164166"
"U2","BLOKADA","45","30.19","43842a9"
"U3","BLOKADA","30","16.27","2e90f5b"
"U4","BLOKADA","19","9.33","f8af5f1"
"U5","OK","29","19.67","8aaef00"
"U6","OK","26","14.29","a46ec06"
"U7","BLOKADA","10","3.88","aa01e5a"
"U8","OK","9","1.81","0187513"
"U9","OK","29","17.59","3cd49d6"
"U10","OK","42","24.00","365ce25"
"U11","OK","29","14.91","14c9d1f"
"U12","OK","30","18.16","419bc53"
"U13","BLOKADA","14","4.09","aa644a3"
